  id   |                                                                                                                 text                                                                                                                  | c  
  1565 |  Military and Police                                                                                                                                                                                                                  |  1
  2924 |                                                                                                                                                                                                                                       |  1
       : real analysis                                                                                                                                                                                                                           
 10626 | earth materials                                                                                                                                                                                                                       |  1
   536 | alienation/enstrangement                                                                                                                                                                                                              |  1
  2853 |  repetitive DNA                                                                                                                                                                                                                       |  1
   560 | Sentimentalist culture                                                                                                                                                                                                                |  1
  2124 |  online information services                                                                                                                                                                                                          |  1
 11469 | eg                                                                                                                                                                                                                                    |  1
    34 | body objectification                                                                                                                                                                                                                  |  1
  4041 | Korean culture and language                                                                                                                                                                                                           |  1
  4467 | vielle                                                                                                                                                                                                                                |  1
  1983 |  Authenticity                                                                                                                                                                                                                         |  1
 14784 | Geometric analysis                                                                                                                                                                                                                    |  1
 11373 | ensemble theatres                                                                                                                                                                                                                     |  1
 15737 |  Curriculum Redesign                                                                                                                                                                                                                  |  1
  2934 |  conditioning                                                                                                                                                                                                                         |  1
   474 | RRKM theory                                                                                                                                                                                                                           |  1
 12312 | Appalachian culture                                                                                                                                                                                                                   |  1
 15136 |  philosophy and phenomenology                                                                                                                                                                                                         |  1
 10971 | Trace metal analysis                                                                                                                                                                                                                  |  1
  1704 |  Pavel Chesnokov                                                                                                                                                                                                                      |  1
 14531 |  Psychological Assessment                                                                                                                                                                                                             |  1
 14718 |  ultracold atoms                                                                                                                                                                                                                      |  1
   300 | reaction-diffusion                                                                                                                                                                                                                    |  1
 16057 |  biomedical modeling                                                                                                                                                                                                                  |  1
 11385 | Constitutional politics                                                                                                                                                                                                               |  1
 11062 | teaching biochemistry                                                                                                                                                                                                                 |  1
 14680 |  lake and river sediments                                                                                                                                                                                                             |  1
  3112 | surface water quality                                                                                                                                                                                                                 |  1
  3603 | Decision Analysis                                                                                                                                                                                                                     |  1
  1408 |  Igneous Petrology                                                                                                                                                                                                                    |  1
 10490 | Evolutionary programming                                                                                                                                                                                                              |  1
 16160 |  Symbolism                                                                                                                                                                                                                            |  1
 15268 |  marine and freshwater biology                                                                                                                                                                                                        |  1
 10610 | social practices                                                                                                                                                                                                                      |  1
 10943 | music and gender                                                                                                                                                                                                                      |  1
 14764 |  computational mechanics                                                                                                                                                                                                              |  1
  2011 |  research on learning                                                                                                                                                                                                                 |  1
  1672 |  vector biology                                                                                                                                                                                                                       |  1
 14486 |  genetic structure                                                                                                                                                                                                                    |  1
  2781 | latin@ studies                                                                                                                                                                                                                        |  1
  1306 |  US working class                                                                                                                                                                                                                     |  1
 11130 | the intersection of Politics and Literature                                                                                                                                                                                           |  1
   537 | music in film                                                                                                                                                                                                                         |  1
 14750 | Sex roles                                                                                                                                                                                                                             |  1
  2450 |  jsp                                                                                                                                                                                                                                  |  1
  3832 | freshwater and marine food webs                                                                                                                                                                                                       |  1
 15302 |  seamless interfaces between people and the physical world                                                                                                                                                                            |  1
 11331 | Atlantic studies                                                                                                                                                                                                                      |  1
  1349 |  radicalism                                                                                                                                                                                                                           |  1
 10919 | evolution & development                                                                                                                                                                                                               |  1
 11537 | introduction to proofs                                                                                                                                                                                                                |  1
   448 | externalities                                                                                                                                                                                                                         |  1
 10204 | Contemporary political theory                                                                                                                                                                                                         |  1
  2695 |  Real-time web                                                                                                                                                                                                                        |  1
 15257 |  migratory songbird                                                                                                                                                                                                                   |  1
 12044 | techniques in biochemistry                                                                                                                                                                                                            |  1
  1297 |  quality of experience                                                                                                                                                                                                                |  1
 12563 |  beowulf clusters                                                                                                                                                                                                                     |  1
 15256 |  forest songbirds                                                                                                                                                                                                                     |  1
 10761 | intersections of science and literature                                                                                                                                                                                               |  1
 14527 |  Brain computer interface                                                                                                                                                                                                             |  1
  3167 | College Teaching                                                                                                                                                                                                                      |  1
 10561 | Technology and teaching                                                                                                                                                                                                               |  1
 12282 | Kohler                                                                                                                                                                                                                                |  1
  2477 |  geology & archeology of Greece                                                                                                                                                                                                       |  1
 14507 |  Sierra Nevada                                                                                                                                                                                                                        |  1
 14530 |  Abnormal Child Psychology                                                                                                                                                                                                            |  1
 10739 | domestic life                                                                                                                                                                                                                         |  1
 10310 | Sarah Piatt                                                                                                                                                                                                                           |  1
 12249 | Facebook                                                                                                                                                                                                                              |  1
 12415 | applied topology                                                                                                                                                                                                                      |  1
 11709 | ancient Greek and Roman history                                                                                                                                                                                                       |  1
 12482 | Civil War Battlefields                                                                                                                                                                                                                |  1
 12535 | climate science                                                                                                                                                                                                                       |  1
 10492 | grammatical evolution                                                                                                                                                                                                                 |  1
  2012 |  transcriptomics                                                                                                                                                                                                                      |  1
  1131 |  economics of the family                                                                                                                                                                                                              |  1
  2471 |  Ar-Ar geochronology                                                                                                                                                                                                                  |  1
 10203 | politics of refuge                                                                                                                                                                                                                    |  1
 12218 | production development                                                                                                                                                                                                                |  1
  1816 |  theorizing                                                                                                                                                                                                                           |  1
  1689 |                                                                                                                                                                                                                                       |  1
       : culturally relevant curriculum                                                                                                                                                                                                          
 14962 |  wireless software interfaces                                                                                                                                                                                                         |  1
   284 | planetary geology                                                                                                                                                                                                                     |  1
 11340 | Ion Beam Analysis (PIXE                                                                                                                                                                                                               |  1
   959 |  faculty evaluation                                                                                                                                                                                                                   |  1
 15813 |  Social Practice                                                                                                                                                                                                                      |  1
 10353 | Astronomy courses                                                                                                                                                                                                                     |  1
  4761 | peer interactions in adolescence                                                                                                                                                                                                      |  1
 15301 |  human-computer interaction techniques                                                                                                                                                                                                |  1
 16099 |  women and war                                                                                                                                                                                                                        |  1
 14244 |  Liberal Arts and Medicine                                                                                                                                                                                                            |  1
 10858 | gender and power                                                                                                                                                                                                                      |  1
 10435 | performance theory                                                                                                                                                                                                                    |  1
 12026 | Feminist Methodology                                                                                                                                                                                                                  |  1
 14351 |  peer-led team learning (PLTL)                                                                                                                                                                                                        |  1
  3792 | binary star system VV Cephei                                                                                                                                                                                                          |  1
  4522 | play fiddle                                                                                                                                                                                                                           |  1
 16179 |  public understanding of science                                                                                                                                                                                                      |  1
 11498 | Asian-American hip hop                                                                                                                                                                                                                |  1
  1140 |  Francophone autobiography                                                                                                                                                                                                            |  1
 14768 |  decision based pedagogy                                                                                                                                                                                                              |  1
  2406 | Arts computing                                                                                                                                                                                                                        |  1
 11731 | outreach and education programs                                                                                                                                                                                                       |  1
   679 | metaphors of immunity                                                                                                                                                                                                                 |  1
 15135 | role and nature of imagination                                                                                                                                                                                                        |  1
 11307 | Viabiity of on-line homework tutorials and quizzes                                                                                                                                                                                    |  1
 11394 | advanced research lab                                                                                                                                                                                                                 |  1
  2667 |                                                                                                                                                                                                                                       |  1
       : mit media lab                                                                                                                                                                                                                           
  3251 | Sociology of Entrepreneurship                                                                                                                                                                                                         |  1
 10568 | Teaching creative writing and performance art                                                                                                                                                                                         |  1
 12562 |  interdisciplinary collaboration                                                                                                                                                                                                      |  1
  1412 |  Tertiary volcanics                                                                                                                                                                                                                   |  1
 15146 | collective quantum properties                                                                                                                                                                                                         |  1
   504 | african american art                                                                                                                                                                                                                  |  1
  3723 | prehistory of Eurasia                                                                                                                                                                                                                 |  1
  2775 |  international and transnational history                                                                                                                                                                                              |  1
 16306 | Active teaching and learning                                                                                                                                                                                                          |  1
   724 | paleoecology                                                                                                                                                                                                                          |  1
 12216 | international focus                                                                                                                                                                                                                   |  1
 10581 | service balance                                                                                                                                                                                                                       |  1
  3123 |  Costume History                                                                                                                                                                                                                      |  1
 15621 |  proteins in embryological development                                                                                                                                                                                                |  1
  4697 | lab instrumentation                                                                                                                                                                                                                   |  1
 15818 |  responsible conduct of research                                                                                                                                                                                                      |  1
 16046 |  sport management                                                                                                                                                                                                                     |  1
 15350 |  Christian communities                                                                                                                                                                                                                |  1
 10175 | Roommate communication strategies (verbal and nonverbal)                                                                                                                                                                              |  1
  1364 |  religion & politics                                                                                                                                                                                                                  |  1
 11032 | library assessment                                                                                                                                                                                                                    |  1
   111 | Poincare                                                                                                                                                                                                                              |  1
  4143 | 20th century poetry                                                                                                                                                                                                                   |  1
  1877 |  race; specifically theories of whitenesses                                                                                                                                                                                           |  1
 11342 | Radioactive Nuclear Beam studies                                                                                                                                                                                                      |  1
 12048 | materials for chemical remediation                                                                                                                                                                                                    |  1
 11012 | physiological psychology                                                                                                                                                                                                              |  1
  4518 | perform with my jazz quintet PZQ                                                                                                                                                                                                      |  1
  1116 |  devotional literature                                                                                                                                                                                                                |  1
 14243 |  Palliative Humanities                                                                                                                                                                                                                |  1
 12391 | Computer Numeric Control                                                                                                                                                                                                              |  1
 11466 | Feminist Studies of Religion                                                                                                                                                                                                          |  1
  1837 |   periodicals                                                                                                                                                                                                                         |  1
 15685 |  forest management                                                                                                                                                                                                                    |  1
  1459 |  climate change and climate policy                                                                                                                                                                                                    |  1
 11958 | computational membrane biophysics                                                                                                                                                                                                     |  1
 11006 | Australian Aborginal Art                                                                                                                                                                                                              |  1
   280 | volcanism                                                                                                                                                                                                                             |  1
 10417 | Science and the arts                                                                                                                                                                                                                  |  1
 10853 | classical Chinese literature                                                                                                                                                                                                          |  1
 15458 | Chlamydomonas                                                                                                                                                                                                                         |  1
 11077 | Inorganic                                                                                                                                                                                                                             |  1
 16372 | Contemporary Italian theater                                                                                                                                                                                                          |  1
  2249 |  book studies                                                                                                                                                                                                                         |  1
 10728 | VO                                                                                                                                                                                                                                    |  1
 14613 |  immigration and citizenship                                                                                                                                                                                                          |  1
  3036 |  Knowledge Commons                                                                                                                                                                                                                    |  1
   556 | environmental hydrology                                                                                                                                                                                                               |  1
 10556 | German language/literature/culture/film  International studies                                                                                                                                                                        |  1
 14770 |  electron flow                                                                                                                                                                                                                        |  1
 15926 |  Koronis family                                                                                                                                                                                                                       |  1
 10268 | Band                                                                                                                                                                                                                                  |  1
 15160 |  medicine and religion                                                                                                                                                                                                                |  1
   682 | Hispanic literature and culture                                                                                                                                                                                                       |  1
  4401 | symphony music                                                                                                                                                                                                                        |  1
 11526 | Language and Culture                                                                                                                                                                                                                  |  1
  1022 |  visual paradigms                                                                                                                                                                                                                     |  1
 10410 | Mathematical issues in biology                                                                                                                                                                                                        |  1
 12298 | DSP                                                                                                                                                                                                                                   |  1
   915 |  literature and feeling                                                                                                                                                                                                               |  1
  2948 |  peace and reconciliation                                                                                                                                                                                                             |  1
  1938 |  python                                                                                                                                                                                                                               |  1
   238 | cosmopolitanism                                                                                                                                                                                                                       |  1
  1363 |  political parties                                                                                                                                                                                                                    |  1
  1584 |  conflict                                                                                                                                                                                                                             |  1
 15479 |  Place                                                                                                                                                                                                                                |  1
 12122 | Introduction to Psychology                                                                                                                                                                                                            |  1
 11279 | First-year composition                                                                                                                                                                                                                |  1
  2132 |  planetary chemistry                                                                                                                                                                                                                  |  1
 10421 | environmental development                                                                                                                                                                                                             |  1
  3261 | History and Society                                                                                                                                                                                                                   |  1
 15563 |  Bioinformatics Education                                                                                                                                                                                                             |  1
