  id   |                                                                                                                 text                                                                                                                  | c  
 11313 | General Literature                                                                                                                                                                                                                    |  1
 11364 | individual practice                                                                                                                                                                                                                   |  1
 10391 | plant - microbe interactions                                                                                                                                                                                                          |  1
   424 | In the Heart of the Beast Puppet and Mask Theater                                                                                                                                                                                     |  1
 10879 | black studies curriculum                                                                                                                                                                                                              |  1
  1106 |  analytical                                                                                                                                                                                                                           |  1
 15185 |  protection of the global commons                                                                                                                                                                                                     |  1
  4205 | Renaissance literature                                                                                                                                                                                                                |  1
 15183 |  European cinema                                                                                                                                                                                                                      |  1
  2079 |  Philippines                                                                                                                                                                                                                          |  1
   249 | contemporary European history                                                                                                                                                                                                         |  1
 15374 |  politics of race                                                                                                                                                                                                                     |  1
  3107 |  hope                                                                                                                                                                                                                                 |  1
  1652 |  Canadian studies                                                                                                                                                                                                                     |  1
  2419 | 19th-century music                                                                                                                                                                                                                    |  1
  4447 | Chamber Singing                                                                                                                                                                                                                       |  1
   876 | paleoclimate                                                                                                                                                                                                                          |  1
 12006 | Black studies                                                                                                                                                                                                                         |  1
  2792 |  Sartre                                                                                                                                                                                                                               |  1
   639 | religion & economics                                                                                                                                                                                                                  |  1
 15507 |  non-majors instruction                                                                                                                                                                                                               |  1
 11126 | Christian theology and ethics                                                                                                                                                                                                         |  1
